asset_id,eodhd_symbol,instrument_type,clase,grupo,nombre,divisa,incluir
IE00BYX5NX33,IE00BYX5NX33.EUFUND,FUND,EQUITY,referencia-bolsa,Fidelity MSCI World Index Fund EUR P Acc,EUR,si
IE00B03HD191,IE00B03HD191.EUFUND,FUND,EQUITY,referencia-bolsa,Vanguard Global Stock Index Fund EUR Acc,EUR,si
LU0132601682,LU0132601682.EUFUND,FUND,FIXED_INCOME,referencia-bonos,Morgan Stanley Investment Funds - Euro Corporate Bond Fund A,EUR,si
LU0113257694,LU0113257694.EUFUND,FUND,FIXED_INCOME,referencia-bonos,Schroder International Selection Fund EURO Corporate Bond A Accumulation EUR,EUR,si
LU0469270010,LU0469270010.EUFUND,FUND,EQUITY,fondos-bolsa,AB FCP I - Asia Ex-Japan Equity Portfolio C EUR Acc,EUR,si
LU0232524495,LU0232524495.EUFUND,FUND,EQUITY,fondos-bolsa,AB SICAV I - American Growth Portfolio A EUR Acc,EUR,si
LU0251853072,LU0251853072.EUFUND,FUND,EQUITY,fondos-bolsa,AB SICAV I - International Health Care Portfolio Class A EUR Acc,EUR,si
LU0861897477,LU0861897477.EUFUND,FUND,EQUITY,fondos-bolsa,Abante Global Funds Spanish Opportunities Class B,EUR,si
LU0524465977,LU0524465977.EUFUND,FUND,EQUITY,fondos-bolsa,Alken Fund - European Opportunities Class A,EUR,si
LU0235308482,LU0235308482.EUFUND,FUND,EQUITY,fondos-bolsa,Alken Fund - European Opportunities Class R,EUR,si
LU0524465548,LU0524465548.EUFUND,FUND,EQUITY,fondos-bolsa,Alken Fund - Small Cap Europe Class A,EUR,si
LU0256839860,LU0256839860.EUFUND,FUND,EQUITY,fondos-bolsa,Allianz Global Investors Fund - Allianz Europe Equity Growth CT EUR,EUR,si
LU0920839429,LU0920839429.EUFUND,FUND,EQUITY,fondos-bolsa,Allianz Global Investors Fund - Allianz Europe Equity Growth Select CT EUR,EUR,si
LU0293313325,LU0293313325.EUFUND,FUND,EQUITY,fondos-bolsa,Allianz Global Investors Fund - Allianz GEM Equity High Dividend AT EUR,EUR,si
LU0293313671,LU0293313671.EUFUND,FUND,EQUITY,fondos-bolsa,Allianz Global Investors Fund - Allianz GEM Equity High Dividend CT EUR,EUR,si
LU1548497699,LU1548497699.EUFUND,FUND,EQUITY,fondos-bolsa,Allianz Global Investors Fund - Allianz Global Artificial Intelligence AT EUR,EUR,si
LU1602091867,LU1602091867.EUFUND,FUND,EQUITY,fondos-bolsa,Allianz Global Investors Fund - Allianz Global Artificial Intelligence CT EUR,EUR,si
LU0604766674,LU0604766674.EUFUND,FUND,EQUITY,fondos-bolsa,Allianz Global Investors Fund - Allianz Global Metals and Mining AT EUR,EUR,si
LU0348784041,LU0348784041.EUFUND,FUND,EQUITY,fondos-bolsa,Allianz Global Investors Fund - Allianz Oriental Income AT EUR,EUR,si
LU1931535931,LU1931535931.EUFUND,FUND,EQUITY,fondos-bolsa,Allianz Pet and Animal Wellbeing AT EUR,EUR,si
LU0568583420,LU0568583420.EUFUND,FUND,EQUITY,fondos-bolsa,Amundi Funds - Equity Japan Target A EUR (C),EUR,si
LU1883342377,LU1883342377.EUFUND,FUND,EQUITY,fondos-bolsa,Amundi Funds - Global Equity A EUR (C),EUR,si
LU1883342880,LU1883342880.EUFUND,FUND,EQUITY,fondos-bolsa,Amundi Funds - Global Equity C EUR (C),EUR,si
LU1883318740,LU1883318740.EUFUND,FUND,EQUITY,fondos-bolsa,Amundi Funds - Global Equity Responsible A EUR (C),EUR,si
LU1883319474,LU1883319474.EUFUND,FUND,EQUITY,fondos-bolsa,Amundi Funds - Global Equity Responsible C EUR (C),EUR,si
LU0552029406,LU0552029406.EUFUND,FUND,EQUITY,fondos-bolsa,Amundi Funds - Latin America Equity A EUR (C),EUR,si
LU0552029661,LU0552029661.EUFUND,FUND,EQUITY,fondos-bolsa,Amundi Funds - Latin America Equity G EUR (C),EUR,si
ES0184949008,ES0184949008.EUFUND,FUND,EQUITY,fondos-bolsa,ANDBANK MEGATRENDS  FI - CLASE A,EUR,si
ES0184949016,ES0184949016.EUFUND,FUND,EQUITY,fondos-bolsa,ANDBANK MEGATRENDS  FI - CLASE B,EUR,si
IE0031069499,IE0031069499.EUFUND,FUND,EQUITY,fondos-bolsa,AXA IM Equity Trust - AXA IM All Country Asia Pacific Ex-Japan Small Cap Equity QI B (â‚¬),EUR,si
IE0034277479,IE0034277479.EUFUND,FUND,EQUITY,fondos-bolsa,AXA IM Equity Trust - AXA IM All Country Asia Pacific Ex-Japan Small Cap Equity QI E (â‚¬),EUR,si
LU0184627536,LU0184627536.EUFUND,FUND,EQUITY,fondos-bolsa,AXA World Funds - Switzerland Equity A Capitalisation EUR,EUR,si
LU1814994353,LU1814994353.EUFUND,FUND,EQUITY,fondos-bolsa,Azvalor Lux SICAV Altum Faith - Consistent Equity R,EUR,si
LU1333148903,LU1333148903.EUFUND,FUND,EQUITY,fondos-bolsa,Azvalor Lux SICAV Azvalor International R,EUR,si
ES0112602000,ES0112602000.EUFUND,FUND,EQUITY,fondos-bolsa,AZVALOR MANAGERS  FI,EUR,si
LU0631859229,LU0631859229.EUFUND,FUND,EQUITY,fondos-bolsa,Bellevue Funds (Lux) - Bellevue Entrepreneur Europe Small B EUR,EUR,si
LU0415391431,LU0415391431.EUFUND,FUND,EQUITY,fondos-bolsa,Bellevue Funds (Lux) - Bellevue Medtech & Services B EUR,EUR,si
ES0114673033,ES0114673033.EUFUND,FUND,EQUITY,fondos-bolsa,BESTINFOND  FI,EUR,si
LU0563745743,LU0563745743.EUFUND,FUND,EQUITY,fondos-bolsa,Bestinver Tordesillas SICAV Iberia A,EUR,si
LU0224105477,LU0224105477.EUFUND,FUND,EQUITY,fondos-bolsa,BlackRock Global Funds - Continental European Flexible Fund Class A2 EUR,EUR,si
LU0224105980,LU0224105980.EUFUND,FUND,EQUITY,fondos-bolsa,BlackRock Global Funds - Continental European Flexible Fund E2,EUR,si
LU2050411763,LU2050411763.EUFUND,FUND,EQUITY,fondos-bolsa,BlackRock Global Funds - Emerging Markets Equity Income Fund A2,EUR,si
LU0171275786,LU0171275786.EUFUND,FUND,EQUITY,fondos-bolsa,BlackRock Global Funds - Emerging Markets Fund A2,EUR,si
LU0628612748,LU0628612748.EUFUND,FUND,EQUITY,fondos-bolsa,BlackRock Global Funds - European Equity Income Fund E2,EUR,si
LU0229084990,LU0229084990.EUFUND,FUND,EQUITY,fondos-bolsa,BlackRock Global Funds - European Equity Transition Fund A2 EUR,EUR,si
LU0072462186,LU0072462186.EUFUND,FUND,EQUITY,fondos-bolsa,BlackRock Global Funds - European Value Fund A2,EUR,si
LU1917163617,LU1917163617.EUFUND,FUND,EQUITY,fondos-bolsa,BlackRock Global Funds - FinTech Fund E2,EUR,si
LU0171285587,LU0171285587.EUFUND,FUND,EQUITY,fondos-bolsa,BlackRock Global Funds - Global Long-Horizon Equity Fund E2,EUR,si
LU0171289902,LU0171289902.EUFUND,FUND,EQUITY,fondos-bolsa,BlackRock Global Funds - Sustainable Energy Fund A2,EUR,si
LU0331286574,LU0331286574.EUFUND,FUND,EQUITY,fondos-bolsa,BlackRock Global Funds - Sustainable Energy Fund C2,EUR,si
LU0171290074,LU0171290074.EUFUND,FUND,EQUITY,fondos-bolsa,BlackRock Global Funds - Sustainable Energy Fund E2,EUR,si
LU0171296949,LU0171296949.EUFUND,FUND,EQUITY,fondos-bolsa,BlackRock Global Funds - US Flexible Equity Fund E2,EUR,si
LU0171304552,LU0171304552.EUFUND,FUND,EQUITY,fondos-bolsa,BlackRock Global Funds - World Energy Fund E2,EUR,si
LU0171304719,LU0171304719.EUFUND,FUND,EQUITY,fondos-bolsa,BlackRock Global Funds - World Financials Fund A2,EUR,si
LU0171305443,LU0171305443.EUFUND,FUND,EQUITY,fondos-bolsa,BlackRock Global Funds - World Financials Fund E2,EUR,si
LU0171306680,LU0171306680.EUFUND,FUND,EQUITY,fondos-bolsa,BlackRock Global Funds - World Gold Fund E2,EUR,si
LU0171307068,LU0171307068.EUFUND,FUND,EQUITY,fondos-bolsa,BlackRock Global Funds - World Healthscience Fund A2,EUR,si
LU0171309270,LU0171309270.EUFUND,FUND,EQUITY,fondos-bolsa,BlackRock Global Funds - World Healthscience Fund E2,EUR,si
LU0172157280,LU0172157280.EUFUND,FUND,EQUITY,fondos-bolsa,BlackRock Global Funds - World Mining Fund A2,EUR,si
LU0172157363,LU0172157363.EUFUND,FUND,EQUITY,fondos-bolsa,BlackRock Global Funds - World Mining Fund E2 EUR,EUR,si
LU0326425351,LU0326425351.EUFUND,FUND,EQUITY,fondos-bolsa,BlackRock Global Funds - World Mining Fund E2 EUR Hedged,EUR,si
LU1321847805,LU1321847805.EUFUND,FUND,EQUITY,fondos-bolsa,BlackRock Strategic Funds - Emerging Markets Equity Strategies Fund E2 EUR,EUR,si
LU0313923228,LU0313923228.EUFUND,FUND,EQUITY,fondos-bolsa,BlackRock Strategic Funds - European Opportunities Extension Fund A2 EUR,EUR,si
LU1162516717,LU1162516717.EUFUND,FUND,EQUITY,fondos-bolsa,BlackRock Systematic Global Equity Absolute Return Fund A2 EUR Hedged,EUR,si
LU2092176515,LU2092176515.EUFUND,FUND,EQUITY,fondos-bolsa,BlueBox Funds - BlueBox Global Technology Fund Class C EUR Acc,EUR,si
LU0823411706,LU0823411706.EUFUND,FUND,EQUITY,fondos-bolsa,BNP Paribas Funds Consumer InnovatorsClassic Capitalisation,EUR,si
LU0823421689,LU0823421689.EUFUND,FUND,EQUITY,fondos-bolsa,BNP Paribas Funds Disruptive Technology Classic Capitalisation,EUR,si
LU0360646680,LU0360646680.EUFUND,FUND,EQUITY,fondos-bolsa,BNP Paribas Funds Euro Defensive Equity Classic Capitalisation,EUR,si
LU0212178916,LU0212178916.EUFUND,FUND,EQUITY,fondos-bolsa,BNP Paribas Funds Europe Small Cap Classic Capitalisation,EUR,si
LU0251807987,LU0251807987.EUFUND,FUND,EQUITY,fondos-bolsa,BNP Paribas Funds Japan Small Cap Classic EUR Capitalisation,EUR,si
IE00B23S7K36,IE00B23S7K36.EUFUND,FUND,EQUITY,fondos-bolsa,BNY Mellon Brazil Equity Fund EUR A Acc,EUR,si
IE00B3V93F27,IE00B3V93F27.EUFUND,FUND,EQUITY,fondos-bolsa,BNY Mellon Global Equity Income Fund EUR A Acc,EUR,si
IE00BZ18VT34,IE00BZ18VT34.EUFUND,FUND,EQUITY,fondos-bolsa,BNY Mellon Global Infrastructure Income Fund EUR A Inc,EUR,si
IE0003867441,IE0003867441.EUFUND,FUND,EQUITY,fondos-bolsa,BNY Mellon Small Cap Euroland Fund EUR A Acc,EUR,si
IE0031574647,IE0031574647.EUFUND,FUND,EQUITY,fondos-bolsa,Brandes European Value Fund A Euro Acc,EUR,si
IE0031573904,IE0031573904.EUFUND,FUND,EQUITY,fondos-bolsa,Brandes Global Value Fund A Euro Acc,EUR,si
IE0031575271,IE0031575271.EUFUND,FUND,EQUITY,fondos-bolsa,Brandes US Value Fund A Euro Acc,EUR,si
LU2278574558,LU2278574558.EUFUND,FUND,EQUITY,fondos-bolsa,Buy & Hold Luxembourg B&H Equity Class 2,EUR,si
LU1120766388,LU1120766388.EUFUND,FUND,EQUITY,fondos-bolsa,Candriam Equities L Biotechnology Class C EUR Cap,EUR,si
LU2050929277,LU2050929277.EUFUND,FUND,EQUITY,fondos-bolsa,Capital Group New Economy Fund (LUX) B,EUR,si
LU1295551144,LU1295551144.EUFUND,FUND,EQUITY,fondos-bolsa,Capital Group New Perspective Fund (LUX) B,EUR,si
LU1481179858,LU1481179858.EUFUND,FUND,EQUITY,fondos-bolsa,Capital Group New World Fund (LUX) B,EUR,si
FR0010148981,FR0010148981.EUFUND,FUND,EQUITY,fondos-bolsa,Carmignac Investissement A EUR Acc,EUR,si
FR0010312660,FR0010312660.EUFUND,FUND,EQUITY,fondos-bolsa,Carmignac Investissement E EUR Acc,EUR,si
LU0294249692,LU0294249692.EUFUND,FUND,EQUITY,fondos-bolsa,Carmignac Portfolio Grande Europe E EUR Acc,EUR,si
LU1299311164,LU1299311164.EUFUND,FUND,EQUITY,fondos-bolsa,Carmignac Portfolio Investissement A EUR Acc,EUR,si
LU1299311834,LU1299311834.EUFUND,FUND,EQUITY,fondos-bolsa,Carmignac Portfolio Investissement E EUR Acc,EUR,si
LU1317704135,LU1317704135.EUFUND,FUND,EQUITY,fondos-bolsa,Carmignac Portfolio Long-Short European Equities E EUR Acc,EUR,si
LU0323041763,LU0323041763.EUFUND,FUND,EQUITY,fondos-bolsa,Chahine Funds - Equity Europe R,EUR,si
LU1372006947,LU1372006947.EUFUND,FUND,EQUITY,fondos-bolsa,Cobas LUX SICAV - Cobas Selection Fund Class P Acc EUR,EUR,si
IE0004766675,IE0004766675.EUFUND,FUND,EQUITY,fondos-bolsa,Comgest Growth Europe EUR Acc,EUR,si
IE00B4ZJ4188,IE00B4ZJ4188.EUFUND,FUND,EQUITY,fondos-bolsa,Comgest Growth Europe Opportunities EUR Acc,EUR,si
LU0570870567,LU0570870567.EUFUND,FUND,EQUITY,fondos-bolsa,CT (Lux) - Global Smaller Companies AE (EUR Accumulation Shares),EUR,si
LU0282719219,LU0282719219.EUFUND,FUND,EQUITY,fondos-bolsa,CT (Lux) - Pan European Small Cap Opportunities Class AE (EUR Accumulation Shares),EUR,si
LU1829329819,LU1829329819.EUFUND,FUND,EQUITY,fondos-bolsa,CT (Lux) - Pan European Smaller Companies 1E (EUR Accumulation Shares),EUR,si
LU0284396289,LU0284396289.EUFUND,FUND,EQUITY,fondos-bolsa,DNCA Invest Value Europe Class B shares EUR,EUR,si
BE0946564383,BE0946564383.EUFUND,FUND,EQUITY,fondos-bolsa,DPAM B - Equities NewGems Sustainable B Cap,EUR,si
BE0947853660,BE0947853660.EUFUND,FUND,EQUITY,fondos-bolsa,DPAM B - Equities US Dividend Sustainable B EUR Cap,EUR,si
BE6213829094,BE6213829094.EUFUND,FUND,EQUITY,fondos-bolsa,DPAM B - Real Estate Europe Dividend Sustainable B Cap,EUR,si
DE0008490962,DE0008490962.EUFUND,FUND,EQUITY,fondos-bolsa,DWS Deutschland LC,EUR,si
LU0616856935,LU0616856935.EUFUND,FUND,EQUITY,fondos-bolsa,DWS Invest Brazilian Equities LC,EUR,si
LU0616857313,LU0616857313.EUFUND,FUND,EQUITY,fondos-bolsa,DWS Invest Brazilian Equities NC,EUR,si
LU1278917452,LU1278917452.EUFUND,FUND,EQUITY,fondos-bolsa,DWS Invest CROCI Sectors Plus LC,EUR,si
LU1278917536,LU1278917536.EUFUND,FUND,EQUITY,fondos-bolsa,DWS Invest CROCI Sectors Plus NC,EUR,si
LU1769941003,LU1769941003.EUFUND,FUND,EQUITY,fondos-bolsa,DWS Invest CROCI World Value LC,EUR,si
LU0273159177,LU0273159177.EUFUND,FUND,EQUITY,fondos-bolsa,DWS Invest Gold and Precious Metals Equities LC,EUR,si
LU0273148055,LU0273148055.EUFUND,FUND,EQUITY,fondos-bolsa,DWS Invest Gold and Precious Metals Equities NC,EUR,si
LU0826452848,LU0826452848.EUFUND,FUND,EQUITY,fondos-bolsa,DWS Invest II Global Equity High Conviction Fund LC,EUR,si
LU0826453226,LU0826453226.EUFUND,FUND,EQUITY,fondos-bolsa,DWS Invest II Global Equity High Conviction Fund NC,EUR,si
LU0399356780,LU0399356780.EUFUND,FUND,EQUITY,fondos-bolsa,DWS Invest Latin American Equities LC,EUR,si
LU0813337002,LU0813337002.EUFUND,FUND,EQUITY,fondos-bolsa,DWS Invest Latin American Equities NC,EUR,si
FR0010321810,FR0010321810.EUFUND,FUND,EQUITY,fondos-bolsa,Echiquier Agenor Mid Cap Europe A,EUR,si
LU1819480192,LU1819480192.EUFUND,FUND,EQUITY,fondos-bolsa,Echiquier Artificial Intelligence B EUR,EUR,si
FR0010859769,FR0010859769.EUFUND,FUND,EQUITY,fondos-bolsa,Echiquier World Equity Growth A,EUR,si
LU0995386439,LU0995386439.EUFUND,FUND,EQUITY,fondos-bolsa,EDM Inversion/Spanish Equity R EUR,EUR,si
LU1244893696,LU1244893696.EUFUND,FUND,EQUITY,fondos-bolsa,Edmond de Rothschild Fund - Big Data A-EUR accumulating,EUR,si
LU1244895394,LU1244895394.EUFUND,FUND,EQUITY,fondos-bolsa,Edmond de Rothschild Fund - Big Data R EUR,EUR,si
LU1103303167,LU1103303167.EUFUND,FUND,EQUITY,fondos-bolsa,Edmond de Rothschild Fund - US Value A EUR,EUR,si
LU1111642820,LU1111642820.EUFUND,FUND,EQUITY,fondos-bolsa,Eleva European Selection A2 EUR acc,EUR,si
ES0167238023,ES0167238023.EUFUND,FUND,EQUITY,fondos-bolsa,ESTELA GLOBAL EQUITIES  FI,EUR,si
IE00B88WFS66,IE00B88WFS66.EUFUND,FUND,EQUITY,fondos-bolsa,Federated Hermes Asia ex-Japan Equity Fund Class R EUR Accumulating,EUR,si
LU2376061086,LU2376061086.EUFUND,FUND,EQUITY,fondos-bolsa,FF - Climate Solutions Fund A-Acc-EUR,EUR,si
LU2348336004,LU2348336004.EUFUND,FUND,EQUITY,fondos-bolsa,FF - Climate Solutions Fund E-ACC-EUR,EUR,si
LU0261951957,LU0261951957.EUFUND,FUND,EQUITY,fondos-bolsa,FF - Global Dividend Plus Fund A-Acc-EUR,EUR,si
LU1206943596,LU1206943596.EUFUND,FUND,EQUITY,fondos-bolsa,Fidelity Active Strategy - FAST - Emerging Markets Fund A-ACC-EUR,EUR,si
LU0202403266,LU0202403266.EUFUND,FUND,EQUITY,fondos-bolsa,Fidelity Active Strategy - FAST - Europe Fund A-ACC-EUR,EUR,si
LU0348529792,LU0348529792.EUFUND,FUND,EQUITY,fondos-bolsa,Fidelity Active Strategy - FAST - Europe Fund E-ACC-EUR,EUR,si
LU2210151341,LU2210151341.EUFUND,FUND,EQUITY,fondos-bolsa,Fidelity Funds - Absolute Return Global Equity Fund A-PF-Acc-Euro (Euro/USD hedged),EUR,si
LU0115759606,LU0115759606.EUFUND,FUND,EQUITY,fondos-bolsa,Fidelity Funds - America Fund E-Acc-EUR,EUR,si
LU0345361124,LU0345361124.EUFUND,FUND,EQUITY,fondos-bolsa,Fidelity Funds - Asia Pacific Opportunities Fund A-Acc-EUR,EUR,si
LU0702159772,LU0702159772.EUFUND,FUND,EQUITY,fondos-bolsa,Fidelity Funds - Asian Smaller Companies Fund A-Acc-EUR,EUR,si
LU0778324086,LU0778324086.EUFUND,FUND,EQUITY,fondos-bolsa,Fidelity Funds - Asian Special Situations Fund E-Acc-EUR,EUR,si
LU0594300096,LU0594300096.EUFUND,FUND,EQUITY,fondos-bolsa,Fidelity Funds - China Consumer Fund A-Acc-EUR,EUR,si
LU0318931192,LU0318931192.EUFUND,FUND,EQUITY,fondos-bolsa,Fidelity Funds - China Focus Fund A-Acc-EUR,EUR,si
LU0766123821,LU0766123821.EUFUND,FUND,EQUITY,fondos-bolsa,Fidelity Funds - China Focus Fund E-Acc-EUR,EUR,si
LU0329678410,LU0329678410.EUFUND,FUND,EQUITY,fondos-bolsa,Fidelity Funds - Emerging Asia Fund A-Acc-EUR,EUR,si
LU0630951415,LU0630951415.EUFUND,FUND,EQUITY,fondos-bolsa,Fidelity Funds - Emerging Asia Fund E-Acc-EUR,EUR,si
LU0261952682,LU0261952682.EUFUND,FUND,EQUITY,fondos-bolsa,Fidelity Funds - Euro 50 Index Fund A-Acc-EUR,EUR,si
LU0353647737,LU0353647737.EUFUND,FUND,EQUITY,fondos-bolsa,Fidelity Funds - European Dividend Fund A-Acc-EUR,EUR,si
LU0857700040,LU0857700040.EUFUND,FUND,EQUITY,fondos-bolsa,Fidelity Funds - European Dividend Fund A-MINCOME(G)-EUR,EUR,si
LU0261948227,LU0261948227.EUFUND,FUND,EQUITY,fondos-bolsa,Fidelity Funds - Germany Fund A-Acc-EUR,EUR,si
LU1391767586,LU1391767586.EUFUND,FUND,EQUITY,fondos-bolsa,Fidelity Funds - Global Financial Services Fund A-Acc-EUR,EUR,si
LU0114722738,LU0114722738.EUFUND,FUND,EQUITY,fondos-bolsa,Fidelity Funds - Global Financial Services Fund E-Acc-EUR,EUR,si
LU2504555777,LU2504555777.EUFUND,FUND,EQUITY,fondos-bolsa,Fidelity Funds - Global Industrials Fund A-Acc-EUR,EUR,si
LU0114723033,LU0114723033.EUFUND,FUND,EQUITY,fondos-bolsa,Fidelity Funds - Global Industrials Fund E-Acc-EUR,EUR,si
LU1213836080,LU1213836080.EUFUND,FUND,EQUITY,fondos-bolsa,Fidelity Funds - Global Technology Fund A-Acc-EUR,EUR,si
LU0115773425,LU0115773425.EUFUND,FUND,EQUITY,fondos-bolsa,Fidelity Funds - Global Technology Fund E-Acc-EUR,EUR,si
LU0115765678,LU0115765678.EUFUND,FUND,EQUITY,fondos-bolsa,Fidelity Funds - Iberia Fund E-Acc-EUR,EUR,si
LU0922333322,LU0922333322.EUFUND,FUND,EQUITY,fondos-bolsa,Fidelity Funds - Italy Fund A-Acc-EUR,EUR,si
LU0413543058,LU0413543058.EUFUND,FUND,EQUITY,fondos-bolsa,Fidelity Funds - Japan Value Fund A-Acc-EUR,EUR,si
LU0368678339,LU0368678339.EUFUND,FUND,EQUITY,fondos-bolsa,Fidelity Funds - Pacific Fund A-Acc-EUR,EUR,si
LU2050860480,LU2050860480.EUFUND,FUND,EQUITY,fondos-bolsa,Fidelity Funds - UK Special Situations Fund A-ACC-EUR,EUR,si
LU0275692696,LU0275692696.EUFUND,FUND,EQUITY,fondos-bolsa,Fidelity Funds - US Equity Fund A-Acc-EUR,EUR,si
LU0115769746,LU0115769746.EUFUND,FUND,EQUITY,fondos-bolsa,Fidelity Funds - World Fund E-Acc-EUR,EUR,si
IE00BYX5P602,IE00BYX5P602.EUFUND,FUND,EQUITY,fondos-bolsa,Fidelity MSCI World Index Fund EUR P Acc (Hedged),EUR,si
LU0496368142,LU0496368142.EUFUND,FUND,EQUITY,fondos-bolsa,Franklin Gold and Precious Metals Fund A(acc)EUR-H1,EUR,si
LU0496369389,LU0496369389.EUFUND,FUND,EQUITY,fondos-bolsa,Franklin Gold and Precious Metals Fund N(acc)EUR,EUR,si
LU0231205856,LU0231205856.EUFUND,FUND,EQUITY,fondos-bolsa,Franklin India Fund N(acc)EUR,EUR,si
LU0300741732,LU0300741732.EUFUND,FUND,EQUITY,fondos-bolsa,Franklin Natural Resources Fund A(acc)EUR,EUR,si
LU0260869739,LU0260869739.EUFUND,FUND,EQUITY,fondos-bolsa,Franklin U.S. Opportunities Fund A(acc)EUR,EUR,si
IE00BD4GTQ32,IE00BD4GTQ32.EUFUND,FUND,EQUITY,fondos-bolsa,FTGF ClearBridge Infrastructure Value Fund Class A Euro Accumulating,EUR,si
LU0690375182,LU0690375182.EUFUND,FUND,EQUITY,fondos-bolsa,Fundsmith Equity Fund T EUR Acc,EUR,si
LU0329430986,LU0329430986.EUFUND,FUND,EQUITY,fondos-bolsa,GAM Multistock - Luxury Brands Equity EUR E,EUR,si
LU0300507208,LU0300507208.EUFUND,FUND,EQUITY,fondos-bolsa,Generali Investments SICAV - Euro Future Leaders EX,EUR,si
ES0138911039,ES0138911039.EUFUND,FUND,EQUITY,fondos-bolsa,GESCONSULT RENTA VARIABLE EUROZONA  FI,EUR,si
ES0137381036,ES0137381036.EUFUND,FUND,EQUITY,fondos-bolsa,GESCONSULT RENTA VARIABLE IBERIA  FI,EUR,si
